slug,tour,start,surface,round,winner_id,winner_name,winner_ioc,loser_id,loser_name,loser_ioc,score
2026PerugiaChallenger,atp,2026-06-01,Clay,Q1,133872,Enrico Dalla Valle,ITA,134087,Johannes Ingildsen,DEN,7-5 6-4
2026PerugiaChallenger,atp,2026-06-01,Clay,Q1,200374,Nicolas Alvarez Varona,ESP,206746,Benjamin Winter Lopez,ESP,6-1 6-3
2026PerugiaChallenger,atp,2026-06-01,Clay,Q1,207601,Manuel Mazza,ITA,209354,Ioannis Xilas,GRE,6-4 0-6 6-3
2026PerugiaChallenger,atp,2026-06-01,Clay,Q1,209264,Pietro Fellin,ITA,211768,Manas Dhamne,IND,6-3 6-3
2026PerugiaChallenger,atp,2026-06-01,Clay,Q1,209506,Francesco Forti,ITA,210054,Matthew William Donald,CZE,7-6(13) 6-2
2026PerugiaChallenger,atp,2026-06-01,Clay,Q1,209874,Maks Kasnikowski,POL,202342,Ryan Seggerman,USA,6-3 7-6(2)
2026PerugiaChallenger,atp,2026-06-01,Clay,Q1,212077,Lorenzo Carboni,ITA,111454,Li Tu,AUS,6-3 6-4
2026PerugiaChallenger,atp,2026-06-01,Clay,Q2,106177,Oriol Roca Batalla,ESP,209264,Pietro Fellin,ITA,4-6 6-3 7-6(5)
2026PerugiaChallenger,atp,2026-06-01,Clay,Q2,133872,Enrico Dalla Valle,ITA,101495,Miguel Tobon,COL,6-2 6-4
2026PerugiaChallenger,atp,2026-06-01,Clay,Q2,200374,Nicolas Alvarez Varona,ESP,207601,Manuel Mazza,ITA,7-5 6-4
2026PerugiaChallenger,atp,2026-06-01,Clay,Q2,209506,Francesco Forti,ITA,122554,David Jorda Sanchis,ESP,7-6(10) 6-7(5) 7-6(1)
2026PerugiaChallenger,atp,2026-06-01,Clay,Q2,209874,Maks Kasnikowski,POL,211636,Lucio Ratti,ARG,6-4 3-6 6-3
2026PerugiaChallenger,atp,2026-06-01,Clay,Q2,212077,Lorenzo Carboni,ITA,125847,Jelle Sels,NED,6-4 6-4
2026PerugiaChallenger,atp,2026-06-01,Clay,QF,126504,Andrea Pellegrino,ITA,213003,Pierluigi Basile,ITA,6-2 6-3
2026PerugiaChallenger,atp,2026-06-01,Clay,QF,207608,Timofey Skatov,KAZ,106065,Marco Cecchinato,ITA,6-4 6-4
2026PerugiaChallenger,atp,2026-06-01,Clay,QF,210012,Henrique Rocha,POR,200329,Remy Bertola,SUI,6-2 4-6 6-2
2026PerugiaChallenger,atp,2026-06-01,Clay,QF,210017,Daniel Merida Aguilar,ESP,208010,Pablo Llamas Ruiz,ESP,6-1 6-2
2026PerugiaChallenger,atp,2026-06-01,Clay,R16,106065,Marco Cecchinato,ITA,208316,Valentin Royer,FRA,6-3 3-0 RET
2026PerugiaChallenger,atp,2026-06-01,Clay,R16,126504,Andrea Pellegrino,ITA,106148,Roberto Carballes Baena,ESP,4-6 7-5 6-3
2026PerugiaChallenger,atp,2026-06-01,Clay,R16,200329,Remy Bertola,SUI,208134,Luca Nardi,ITA,6-2 4-6 6-3
2026PerugiaChallenger,atp,2026-06-01,Clay,R16,207608,Timofey Skatov,KAZ,202358,Chun Hsin Tseng,TPE,6-7(2) 7-6(7) 7-6(4)
2026PerugiaChallenger,atp,2026-06-01,Clay,R16,208010,Pablo Llamas Ruiz,ESP,213635,Jacopo Vasami,ITA,7-6(3) 6-3
2026PerugiaChallenger,atp,2026-06-01,Clay,R16,210012,Henrique Rocha,POR,105583,Dusan Lajovic,SRB,6-4 7-5
2026PerugiaChallenger,atp,2026-06-01,Clay,R16,210017,Daniel Merida Aguilar,ESP,106281,Liam Broady,GBR,6-4 6-2
2026PerugiaChallenger,atp,2026-06-01,Clay,R16,213003,Pierluigi Basile,ITA,209506,Francesco Forti,ITA,6-1 6-3
