rank,player_id,name,elo,hard,clay,grass,updated
182,,Marina Bassols Ribera,1594.5,1498.1,1573.8,1521.2,2026-09-21
183,,Susan Bandecchi,1593.3,1544.5,1545.1,1461.5,2026-09-21
184,,Samira De Stefano,1592.9,1478.2,1573.4,1471.4,2026-09-21
185,,Emerson Jones,1592.0,1583.2,1410.1,1479.3,2026-09-21
186,,Alicia Herrero Linana,1590.3,1399.2,1571.1,1470.1,2026-09-21
187,,Rebecca Marino,1590.0,1553.1,1475.6,1552.8,2026-09-21
188,,Elena Pridankina,1589.8,1537.8,1569.2,1456.7,2026-09-21
189,,Tereza Martincova,1589.3,1572.9,1476.2,1545.2,2026-09-21
190,,Iryna Shymanovich,1588.0,1517.8,1525.0,1539.8,2026-09-21
191,,Ekaterine Gorgodze,1587.8,1524.0,1545.8,1483.4,2026-09-21
192,,Mia Ristic,1585.9,1452.2,1562.0,1468.0,2026-09-21
193,,Noma Noha Akugue,1584.6,1542.3,1552.1,1426.6,2026-09-21
194,,Katarzyna Kawa,1581.4,1446.2,1578.7,1510.9,2026-09-21
195,,Noemi Basiletti,1580.7,1342.9,1555.3,1465.3,2026-09-21
196,,Joanna Garland,1579.1,1573.3,1475.8,1490.5,2026-09-21
197,,Katie Swan,1576.0,1491.9,1423.7,1518.4,2026-09-21
198,,Zhuoxuan Bai,1573.6,1551.5,1439.1,1536.3,2026-09-21
199,,Linda Fruhvirtova,1572.7,1554.3,1495.5,1483.0,2026-09-21
200,,Veronika Podrez,1572.2,1529.0,1494.0,1429.0,2026-09-21
201,,Jessika Ponchet,1572.0,1504.3,1560.8,1465.9,2026-09-21
202,,Mona Barthel,1571.5,1547.2,1526.4,1396.6,2026-09-21
203,,Anouk Koevermans,1571.0,1570.4,1506.8,1416.5,2026-09-21
204,,Olivia Gadecki,1568.8,1539.3,1489.7,1470.9,2026-09-21
205,,Alisa Oktiabreva,1568.4,1426.4,1558.3,1459.2,2026-09-21
206,,Mai Hontama,1566.6,1529.1,1488.6,1449.6,2026-09-21
207,,Mariam Bolkvadze,1566.2,1520.0,1343.4,1504.5,2026-09-21
208,,Elsa Jacquemot,1564.8,1541.2,1510.4,1489.9,2026-09-21
209,,Leyre Romero Gormaz,1563.8,1490.7,1546.4,1421.2,2026-09-21
210,,Veronika Erjavec,1560.2,1461.6,1560.4,1481.3,2026-09-21
211,,Lucie Havlickova,1557.2,1554.3,1490.7,1441.4,2026-09-21
212,,Francesca Curmi,1556.7,1462.3,1531.8,1453.4,2026-09-21
213,,En Shuo Liang,1556.1,1546.1,1362.0,1498.1,2026-09-21
214,,Anna Siskova,1556.0,1529.8,1527.0,1367.0,2026-09-21
215,,Darja Semenistaja,1553.9,1509.0,1539.2,1488.3,2026-09-21
216,,Rada Zolotareva,1553.8,1427.7,1531.6,1421.4,2026-09-21
217,,Ella Seidel,1553.5,1533.3,1495.3,1469.7,2026-09-21
218,,Elizara Yaneva,1553.3,1552.3,1498.9,1460.4,2026-09-21
219,,Varvara Lepchenko,1550.1,1532.6,1516.4,1440.7,2026-09-21
220,,Polona Hercog,1550.1,1500.2,1534.2,1490.7,2026-09-21
221,,Madison Brengle,1548.3,1512.5,1545.4,1484.7,2026-09-21
222,,Nao Hibino,1547.4,1516.2,1480.6,1471.0,2026-09-21
223,,Martina Trevisan,1544.5,1488.1,1535.9,1338.1,2026-09-21
224,,Priscilla Hon,1542.1,1529.2,1453.5,1433.5,2026-09-21
225,,Irene Burillo Escorihuela,1538.7,1397.8,1522.5,1411.9,2026-09-21
226,,Sofia Costoulas,1537.5,1526.5,1486.2,1398.9,2026-09-21
227,,Anastasia Gasanova,1535.8,1487.7,1455.1,1522.9,2026-09-21
228,,Francisca Jorge,1534.6,1519.1,1433.9,1475.1,2026-09-21
229,,Akasha Urhobo,1531.4,1412.4,1525.6,1431.2,2026-09-21
230,,Carole Monnet,1531.3,1461.2,1513.3,1371.6,2026-09-21
231,,Victoria Jimenez Kasintseva,1530.8,1516.7,1502.4,1422.6,2026-09-21
232,,Nastasja Schunk,1529.2,1415.6,1510.8,1495.2,2026-09-21
233,,Xinyu Gao,1527.3,1518.3,1476.1,1393.0,2026-09-21
234,,Yeon Woo Ku,1524.1,1507.1,1361.7,1405.6,2026-09-21
235,,Savannah Broadus,1521.1,1489.8,1438.6,1435.6,2026-09-21
236,,Oceane Dodin,1518.6,1485.9,1457.9,1460.0,2026-09-21
237,,Alexandra Shubladze,1517.9,1495.3,1367.3,1395.9,2026-09-21
238,,Erika Andreeva,1517.7,1470.9,1490.8,1420.6,2026-09-21
239,,Anna Lena Friedsam,1517.5,1488.4,1475.2,1406.0,2026-09-21
240,,Alice Tubello,1516.2,1362.2,1516.9,1391.1,2026-09-21
241,,Arantxa Rus,1515.7,1512.1,1489.1,1399.0,2026-09-21
242,,Linda Klimovicova,1514.7,1507.0,1438.0,1372.6,2026-09-21
243,,Kylie Collins,1514.6,1501.6,1380.6,1442.1,2026-09-21
244,,Tiantsoa Sarah Rakotomanga Rajaonah,1510.7,1464.8,1464.1,1438.8,2026-09-21
245,,Aliona Bolsova,1509.5,1458.9,1487.2,1407.7,2026-09-21
246,,Katarina Zavatska,1508.7,1399.4,1496.2,1416.1,2026-09-21
247,,Viktoria Hruncakova,1507.4,1470.2,1446.7,1436.1,2026-09-21
248,,Laura Pigossi,1507.1,1441.5,1505.1,1350.9,2026-09-21
249,,Nuria Brancaccio,1505.3,1323.4,1498.9,1357.9,2026-09-21
250,,Aliona Falei,1504.7,1501.4,1406.0,1428.1,2026-09-21
251,,Maria Lourdes Carle,1502.5,1463.4,1480.6,1391.5,2026-09-21
252,,Malaika Rapolu,1502.3,1467.9,1368.6,1426.2,2026-09-21
253,,Eva Vedder,1501.6,1500.4,1459.8,1436.3,2026-09-21
254,,Hannah Klugman,1501.1,1475.2,1388.4,1383.8,2026-09-21
255,,Sachia Vickery,1500.5,1469.1,1498.3,1408.9,2026-09-21
256,,Anastasia Kulikova,1500.3,1491.1,1413.1,1408.2,2026-09-21
257,,Elizabeth Mandlik,1497.2,1467.7,1451.0,1487.7,2026-09-21
258,,Kayla Cross,1496.8,1490.7,1393.9,1357.2,2026-09-21
259,,Lola Radivojevic,1495.2,1453.8,1471.6,1442.7,2026-09-21
260,,Alena Kovackova,1494.4,1394.6,1464.7,1422.2,2026-09-21
261,,Caijsa Wilda Hennemann,1493.3,1350.5,1462.2,1421.6,2026-09-21
262,,Jennifer Ruggeri,1492.3,1352.0,1479.8,1421.2,2026-09-21
263,,Destanee Aiava,1491.8,1474.5,1403.8,1383.9,2026-09-21
264,,Luisina Giovannini,1490.7,1318.6,1487.3,1398.9,2026-09-21
265,,Sonja Zhiyenbayeva,1488.9,1488.3,1359.4,1419.4,2026-09-21
266,,Aoi Ito,1488.6,1488.6,1297.9,1347.6,2026-09-21
267,,Joelle Lilly Sophie Steur,1486.4,1388.9,1466.4,1418.2,2026-09-21
268,,Ayla Aksu,1485.3,1475.5,1408.5,1417.7,2026-09-21
269,,Julia Avdeeva,1485.0,1469.1,1453.3,1382.2,2026-09-21
270,,Fangran Tian,1483.7,1463.1,1356.8,1416.8,2026-09-21
271,,Jazmin Ortenzi,1483.5,1379.7,1471.0,1361.9,2026-09-21
272,,Darya Astakhova,1481.9,1417.9,1469.0,1383.8,2026-09-21
273,,Mika Stojsavljevic,1481.8,1406.7,1355.9,1362.5,2026-09-21
274,,Barbora Palicova,1481.7,1387.1,1476.9,1419.6,2026-09-21
275,,Eva Guerrero Alvarez,1480.1,1469.9,1398.4,1393.0,2026-09-21
276,,Lidia Encheva,1479.0,1392.7,1441.5,1414.5,2026-09-21
277,,Kajsa Rinaldo Persson,1478.1,1413.6,1453.1,1347.2,2026-09-21
278,,Arina Rodionova,1478.0,1457.7,1375.9,1450.2,2026-09-21
279,,Valentina Ryser,1475.9,1449.3,1293.3,1509.4,2026-09-21
280,,Louisa Chirico,1475.7,1410.8,1515.9,1376.6,2026-09-21
281,,Lucciana Perez Alarcon,1475.5,1431.6,1483.2,1487.7,2026-09-21
282,,Tara Wurth,1473.0,1381.8,1446.0,1411.5,2026-09-21
283,,Alicia Dudeney,1467.3,1467.1,1348.7,1357.6,2026-09-21
284,,Han Shi,1465.7,1467.7,1322.2,1398.9,2026-09-21
285,,Katrina Scott,1462.9,1425.4,1468.6,1344.6,2026-09-21
286,,Lucija Ciric Bagaric,1462.1,1310.7,1458.8,1381.8,2026-09-21
287,,Angelina Voloshchuk,1461.2,1445.2,1302.0,1405.6,2026-09-21
288,,Silvia Ambrosio,1460.8,1359.5,1448.2,1405.4,2026-09-21
