player_id,hand,dob,ioc,height
200512,U,19630610,AUS,
200513,U,19630703,USA,
200514,R,19670722,GBR,
200515,U,19620731,USA,
200516,U,19670702,USA,
200517,U,19681114,AUS,
200518,U,19690312,HKG,
200519,U,19691019,FRA,
200520,U,19710615,GBR,
200521,U,19680621,NED,
200522,R,19670723,NED,179
200523,U,19680619,GRE,170
200524,R,19681029,AUS,
200525,U,19620426,USA,
200526,U,19621009,USA,
200527,U,19661209,FRA,
200528,R,19680819,GBR,
200529,U,19640904,USA,
200530,R,19701226,SVK,169
200531,U,19680826,USA,
200532,U,19700518,FRA,
200533,R,19631220,USA,
200534,R,19680411,USA,
200535,U,19710113,AUS,
200536,R,19690511,AUS,
200537,U,19640326,USA,
200538,R,19650311,JPN,
200539,R,19681002,CZE,175
200540,U,19690902,USA,
200541,U,19640202,USA,
200542,R,19680308,GBR,
200543,R,19641027,CAN,170
200544,U,19670305,SUI,
200545,U,19670909,JPN,
200546,U,19650206,USA,
200547,R,19700310,BEL,173
200548,R,19650331,USA,165
200549,R,19640411,USA,
200550,U,19700430,FRA,
200551,U,19690213,GBR,
200552,U,19630307,SWE,178
200553,U,19620725,NED,
200554,R,19701228,NED,188
200555,U,19681011,GBR,173
200556,U,19640420,USA,
200557,R,19680805,USA,165
200558,U,19641214,USA,
200559,R,19700303,AUS,177
200560,L,19660114,CAN,165
200561,U,19720928,SUI,
200562,U,19691208,GER,
200563,U,19721107,AUS,
200564,L,19670707,NED,
200565,U,19680707,FRA,
200566,U,19710705,USA,
200567,L,19690226,USA,
200568,U,19710930,USA,
200569,U,19700627,TCH,
200570,U,19720403,GER,160
200571,U,19690722,SWE,
200572,R,19700516,ARG,175
200573,R,19680724,SWE,178
200574,U,19710713,CZE,
200575,U,19660117,USA,
200576,L,19660328,FRA,
200577,U,19720110,AUS,
200578,R,19710326,AUS,178
200579,R,19680914,AUT,175
200580,U,19730327,USA,
200581,U,19651230,JPN,
200582,U,19690817,SWE,
200583,U,19721109,USA,
200584,R,19671127,ITA,165
200585,R,19650825,USA,170
200586,U,19671120,ITA,
200587,U,19680713,GER,
200588,U,19650224,POL,
200589,U,19690805,USA,
200590,U,19681101,BRA,
200591,U,19660510,USA,
200592,U,19710414,SUI,
200593,U,19691021,FRA,
200594,U,19610222,POL,
200595,U,19701013,USA,
200596,U,19661002,GER,
200597,R,19710819,USA,175
200598,U,19701201,USA,
200599,U,19720428,USA,
200600,U,19670407,NED,
200601,R,19680105,GEO,164
200602,R,19681213,USA,180
200603,U,19720310,AUS,
200604,R,19700901,AUT,177
200605,U,19680205,TCH,
200606,R,19710410,JPN,163
200607,U,19670520,AUT,168
200608,U,19711117,USA,
200609,U,19710102,GER,
200610,U,19701113,USA,
200611,U,19671218,AUS,
200612,R,19711115,UKR,176
200613,L,19630829,RSA,
200614,U,19720517,BUL,
200615,U,19730207,HKG,
200616,U,19660606,FRA,
200617,R,19700928,JPN,163
200618,U,19691208,GER,
200619,U,19700321,AUS,
200620,L,19730225,AUS,
200621,R,19660918,FRA,
200622,U,19690517,JPN,
200623,U,19690808,FIN,
200624,U,19681113,USA,
200625,U,19700323,CZE,
200626,L,19700424,SUI,
200627,R,19720524,AUT,168
200628,U,19650603,YUG,
200629,U,19720720,ARG,
200630,R,19640112,PER,173
