player_id,hand,dob,ioc,height
100615,R,19590810,ITA,
100616,L,19590817,USA,178
100617,R,19590821,USA,193
100618,R,19590821,USA,183
100619,R,19590823,GRE,190
100620,L,19590904,ESP,160
100621,R,19590904,USA,178
100622,R,19590905,ITA,
100623,L,19590907,USA,183
100624,L,19590915,USA,185
100625,L,19590915,USA,
100626,R,19590929,USA,175
100627,R,19591010,USA,
100628,R,19591011,NED,201
100629,R,19591021,USA,
100630,L,19591022,ARG,180
100631,L,19591123,USA,180
100632,R,19591127,USA,
100633,R,19591205,USA,
100634,R,19591208,USA,
100635,R,19591208,USA,190
100636,R,19591211,ARG,175
100637,R,19591213,GER,190
100638,L,19591229,NZL,180
100639,R,19600104,USA,170
100640,R,19600105,SWE,175
100641,R,19600110,BEL,
100642,R,19600117,ARG,
100643,R,19600119,NGR,178
100644,R,19970420,GER,198
100645,R,19600125,NED,190
100646,R,19600202,ITA,178
100647,R,19600202,JPN,
100648,R,19600202,NGR,
100649,R,19600203,USA,178
100650,R,19600213,GER,
100651,R,19600216,ARG,180
100652,R,19600222,BRA,180
100653,L,19600227,ECU,193
100654,R,19600304,USA,
100655,R,19600305,USA,196
100656,R,19600307,USA,188
100657,L,19600309,USA,180
100658,R,19600316,USA,
100659,R,19600318,AUT,
100660,R,19600325,USA,193
100661,R,19600326,GER,178
100662,R,19600327,MEX,173
100663,R,19600330,USA,173
100664,L,19600402,SUI,185
100665,R,19600403,USA,
100666,R,19600404,USA,190
100667,R,19600406,SWE,183
100668,R,19600407,USA,
100669,R,19600411,USA,196
100670,R,19600415,GER,
100671,R,19600422,MEX,180
100672,R,19600507,RSA,178
100673,L,19600507,RSA,180
100674,R,19600513,USA,188
100675,R,19600513,AUS,188
100676,R,19600518,FRA,193
100677,R,19600526,USA,
100678,R,19600529,AUS,
100679,R,19600530,GBR,
100680,L,19600601,AUS,178
100681,R,19600605,USA,193
100682,R,19600608,PUR,190
100683,R,19600621,USA,
100684,R,19600710,GER,
100685,R,19600718,GBR,
100686,L,19600721,USA,170
100687,R,19600727,USA,
100688,R,19600801,USA,
100689,R,19600803,USA,190
100690,R,19600817,ITA,188
100691,R,19600819,GER,180
100692,R,19600823,USA,
100693,R,19600829,USA,
100694,R,19600831,USA,
100695,R,19600831,USA,
100696,R,19600901,USA,178
100697,R,19600902,KOR,163
